issuer,validity_start,validity_end,sha256_fingerprint,cert_length,public_key_length,secure_connection,encryption,error,website,category
WR2,20240730123243Z,20241022123242Z,20:D1:35:7D:CC:9D:83:45:B9:59:66:CF:1F:2D:97:A0:0D:86:FF:02:32:0B:3B:C0:98:8C:F3:7A:81:51:69:DC,1363,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,googlesyndication.com,Search Engines;Advertisements
,,,,,,,,[Errno 11001] getaddrinfo failed,akamai.net,Content Servers
,,,,,,,,[Errno 11001] getaddrinfo failed,gvt2.com,Content Servers
R10,20240718040054Z,20241016040053Z,14:2E:31:0C:F5:9F:53:1F:FB:D5:1F:22:D9:3D:27:50:60:14:92:07:3B:1C:2E:AF:DF:E0:63:A2:13:CE:13:2B,1249,2048,TRUE,"('ECDHE-RSA-AES256-GCM-SHA384', 'TLSv1.2', 256)",,ntp.org,Technology;Government
,,,,,,,,[Errno 11001] getaddrinfo failed,cloudfront.net,Content Servers;Science;Technology
DigiCert Global G2 TLS RSA SHA256 2020 CA1,20240730000000Z,20250121235959Z,EB:72:35:01:9F:30:12:B7:A8:14:7D:56:F7:92:96:30:48:BE:99:7B:4F:44:FF:E9:37:70:73:EA:DE:8A:86:A5,1703,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,cloudflare-dns.com,Content Servers
DigiCert Cloud Services CA-1,20240310000000Z,20250310235959Z,CD:41:29:89:FE:D4:5C:D6:39:D3:50:E2:0D:11:31:23:DB:55:15:25:35:6B:82:70:E4:61:5B:DA:14:D2:EE:A3,1987,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,live.com,Technology;Webmail
,,,,,,,,[Errno 11001] getaddrinfo failed,akamaiedge.net,Content Servers
,,,,,,,,[Errno 11001] getaddrinfo failed,cdn77.org,Content Servers
,,,,,,,,[Errno 11001] getaddrinfo failed,gvt1.com,Content Servers
Microsoft Azure RSA TLS Issuing CA 04,20240619081410Z,20241216081410Z,49:DA:1E:19:06:C0:0B:A7:05:EE:40:50:E9:DE:0A:AA:AC:BF:9E:33:98:A0:DA:EA:A5:63:18:FD:12:DE:F8:8C,3420,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,bing.com,Search Engines
,,,,,,,,[Errno 11001] getaddrinfo failed,ytimg.com,Content Servers
,,,,,,,,[Errno 11001] getaddrinfo failed,aaplimg.com,Information Technology;Content Servers;Technology
,,,,,,,,[Errno 11001] getaddrinfo failed,cdninstagram.com,Content Servers
DigiCert Secure Site ECC CA-1,20231025000000Z,20241024214809Z,D4:BB:61:7D:89:B1:19:6D:03:4E:AE:60:65:97:41:26:BC:BF:AC:17:99:80:6A:BF:09:5F:A9:DE:30:BF:30:99,1630,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,netflix.com,Movies;Video Streaming
DigiCert Global G2 TLS RSA SHA256 2020 CA1,20240205000000Z,20250204235959Z,A1:CF:37:C0:1E:15:87:29:9C:28:AF:1A:54:67:3C:A1:77:53:05:36:99:7C:A7:0B:27:82:92:4F:20:9C:C8:8F,1741,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,spotify.com,Audio Streaming
WR2,20240730124720Z,20241022124719Z,C4:9F:EE:1B:42:38:2B:D3:7E:02:0A:5E:32:D7:43:31:97:E4:DC:F2:C9:26:E7:43:89:55:16:C5:0D:F7:EB:19,1154,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,googleadservices.com,Advertisements
WR2,20240730123247Z,20241022123246Z,B6:2E:E8:B5:47:5F:DD:E6:DB:AF:F9:EC:61:86:81:7B:CB:45:47:6C:93:6E:1C:B6:54:28:4A:94:EE:5E:66:A8,1729,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,google-analytics.com,Business;Technology
,,,,,,,,[Errno 11001] getaddrinfo failed,bytefcdn-oversea.com,Content Servers
Microsoft Azure RSA TLS Issuing CA 08,20240603222151Z,20250529222151Z,8C:CC:68:1F:A4:1A:B6:97:50:AF:F2:B6:F0:EB:B6:22:9D:41:3C:F0:03:FA:76:41:EB:B2:17:DD:83:ED:AF:7A,2782,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,office.com,Technology
DigiCert Global G2 TLS RSA SHA256 2020 CA1,20240723000000Z,20250722235959Z,C0:23:A3:B8:54:33:DB:6A:09:FA:7E:ED:EE:D2:91:33:88:A8:0E:06:3B:76:EF:5A:29:62:6B:9B:28:DF:A0:16,2182,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,snapchat.com,Social Networks
DigiCert SHA2 High Assurance Server CA,20240723000000Z,20250115235959Z,95:5C:11:D3:61:0F:3F:4E:1C:AF:70:5C:29:94:F3:21:B4:26:0D:5F:BC:B3:CE:DA:0B:2A:49:D9:E5:5C:9C:01,1779,256,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",,yahoo.com,News & Media
DigiCert Global G2 TLS RSA SHA256 2020 CA1,20230919000000Z,20240917235959Z,DB:5C:9A:F3:71:C6:A4:6A:B5:8D:14:94:EF:C6:18:4A:E1:E9:7A:78:AE:4B:8C:C2:D9:40:38:01:75:AC:F6:38,1788,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,twitter.com,Social Networks
R11,20240704073407Z,20241002073406Z,2B:B0:D1:57:B0:5A:88:EE:1D:7B:26:3D:49:B0:FE:20:43:80:52:2B:62:84:4D:9D:A4:CB:DE:C5:22:4A:F0:21,1505,4096,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,one.one,Information Technology
DigiCert EV RSA CA G2,20240729000000Z,20250730235959Z,0A:A5:2D:33:41:F8:AC:B9:35:35:23:5E:6A:EE:6E:E3:7B:D2:29:E5:7D:62:7B:5D:64:07:13:95:15:BF:1E:AB,1926,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",,digicert.com,Information Security
WR2,20240730125019Z,20241022125018Z,9A:DF:B5:E4:0E:54:C1:38:5C:71:5A:8F:8C:4F:2C:B4:E5:30:00:7A:93:B3:75:60:74:B8:9C:F0:20:B0:29:46,1258,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,dns.google,Information Technology
WR2,20240730123247Z,20241022123246Z,B6:2E:E8:B5:47:5F:DD:E6:DB:AF:F9:EC:61:86:81:7B:CB:45:47:6C:93:6E:1C:B6:54:28:4A:94:EE:5E:66:A8,1729,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,app-analytics-services.com,Content Servers
DigiCert TLS RSA SHA256 2020 CA1,20240226000000Z,20250225235959Z,D2:1E:C0:12:EC:88:4A:2D:37:81:73:21:7B:F7:FF:54:B0:4A:95:B4:0C:EF:9F:8B:86:E9:E7:D6:2A:31:5F:2A,1722,2048,TRUE,"('ECDHE-RSA-AES256-GCM-SHA384', 'TLSv1.2', 256)",,unity3d.com,Gaming;Technology
WR2,20240730123247Z,20241022123246Z,B6:2E:E8:B5:47:5F:DD:E6:DB:AF:F9:EC:61:86:81:7B:CB:45:47:6C:93:6E:1C:B6:54:28:4A:94:EE:5E:66:A8,1729,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,app-measurement.com,APIs
Amazon RSA 2048 M03,20240213000000Z,20250313235959Z,67:8E:59:99:56:14:88:72:5F:5C:A8:D7:37:34:C9:4E:DE:2D:10:F5:B2:A5:CD:48:1D:87:7C:D8:46:54:B4:E3,1494,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",,amazon-adsystem.com,Advertisements
Certainly Intermediate R1,20240729170525Z,20240828170524Z,C5:71:F7:93:33:0F:32:5D:19:E0:49:73:5C:70:55:CB:87:AB:C9:AE:90:3D:5F:00:16:81:C5:57:9F:23:F4:91,1303,2048,TRUE,"('ECDHE-RSA-AES128-GCM-SHA256', 'TLSv1.2', 128)",,fastly.net,Information Security;Information Technology;Technology
,,,,,,,,[Errno 11001] getaddrinfo failed,ttlivecdn.com,Content Servers
,,,,,,,,[Errno 11001] getaddrinfo failed,msftncsi.com,Content Servers
Cloudflare Inc ECC CA-3,20240514000000Z,20241231235959Z,17:DF:DF:82:A6:4D:81:EB:01:5C:3C:B1:42:EC:86:10:BF:6B:1C:AF:A0:EA:7E:B6:AD:DE:0F:00:25:C8:11:D0,1290,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,applovin.com,Business;Technology
Amazon RSA 2048 M02,20231026000000Z,20241123235959Z,01:40:8B:25:B7:F4:92:52:DA:64:F0:DA:82:11:CA:BB:E1:64:5D:7D:4D:2F:A7:86:64:9C:E3:E7:FF:3B:C6:59,1480,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",,ui.com,Technology
WR2,20240730123247Z,20241022123246Z,B6:2E:E8:B5:47:5F:DD:E6:DB:AF:F9:EC:61:86:81:7B:CB:45:47:6C:93:6E:1C:B6:54:28:4A:94:EE:5E:66:A8,1729,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,googletagmanager.com,Content Servers
