issuer,validity_start,validity_end,sha256_fingerprint,cert_length,public_key_length,secure_connection,encryption,website,category
Thawte RSA CA 2018,27-Mar-24,13-Mar-25,72:D7:71:F8:B0:0F:19:67:89:D1:15:F7:4C:81:4D:29:BE:AC:54:FD:D5:95:CF:BC:36:35:1C:0B:37:A5:5F:D8,2079,2048,TRUE,"('ECDHE-RSA-AES128-GCM-SHA256', 'TLSv1.2', 128)",nytimes.com,News/Media
GlobalSign RSA OV SSL CA 2018,26-Jun-24,19-Jul-25,4A:F5:61:F0:09:06:C5:89:3C:CF:D1:5C:87:C3:27:1A:33:32:98:4D:4C:D1:8F:3A:72:4B:40:3B:A5:C1:11:AD,2042,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",bbc.com,News/Media
RapidSSL Global TLS RSA4096 SHA256 2022 CA1,25-Aug-23,24-Sep-24,7F:7C:7D:F3:1E:1B:E9:B2:DF:74:26:EE:9E:19:C1:E6:45:E5:D8:93:67:FE:FC:CF:DF:47:94:23:E6:B4:DC:AB,1938,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",tiktok.com,Social Media
Amazon ECDSA 384 M02,08-Jan-24,06-Feb-25,B6:91:C2:C3:C8:F2:C8:85:72:AC:99:BA:2F:91:78:59:29:20:EF:F4:BF:02:C5:3C:A6:C6:77:BF:F7:8C:3B:55,1150,384,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",acer.com,Tech/Hardware
DigiCert Global G2 TLS RSA SHA256 2020 CA1,09-Nov-23,15-Nov-24,09:A8:1D:CB:2C:23:53:3B:98:37:7D:E4:4D:F0:03:A4:4E:B9:96:67:67:4E:D2:47:0F:3D:46:A5:D8:1C:9E:E4,1741,2048,TRUE,"('ECDHE-RSA-AES128-GCM-SHA256', 'TLSv1.2', 128)",aljazeera.com,News/Media
Entrust Certification Authority - L1M,21-May-24,21-May-25,24:A3:8A:F2:5F:50:5C:55:17:AC:A4:CB:D0:83:39:31:69:28:75:C5:A0:FC:21:D2:28:F7:D0:E4:38:1E:34:85,3158,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",americanairlines.com,Travel/Transportation
Go Daddy Secure Certificate Authority - G2,23-Dec-23,23-Jan-25,68:7B:99:33:48:09:04:10:67:77:19:5B:B7:71:A0:7E:17:39:10:69:28:88:04:AB:23:9F:CE:CA:A3:CC:CC:94,1681,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",archive.org,Reference
Sectigo RSA Organization Validation Secure Server CA,19-Dec-23,18-Jan-25,71:5B:A7:95:25:7C:DF:A6:37:65:53:F6:58:0B:16:B7:3C:1B:8C:6B:B0:69:1D:5C:BC:19:58:13:6A:6C:33:ED,1750,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",asus.com,Tech/Hardware
Amazon RSA 2048 M02,15-May-24,14-Jun-25,AA:97:E3:03:C2:E2:F1:4E:5C:4F:CB:CB:EB:74:A7:7A:0D:84:4E:B7:5C:64:22:7F:78:51:72:0A:08:6E:52:7F,1500,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",atlassian.com,Tech/Services
DigiCert TLS RSA SHA256 2020 CA1,17-Jan-24,18-Jan-25,AE:9C:C0:23:D0:3F:D1:96:AE:C7:73:B2:C7:CD:31:B8:C6:53:52:30:39:46:88:34:63:5E:B3:95:35:A7:33:14,1743,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",autotrader.com,E-commerce
GeoTrust RSA CA 2018,29-May-24,28-May-25,C0:4B:52:F6:44:B8:34:C7:61:55:D3:0E:E7:F4:9B:47:17:D2:7B:F9:85:5D:09:82:60:BA:8C:8B:EC:25:D0:C6,3486,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",avis.com,Travel/Transportation
Amazon RSA 2048 M01,18-Jan-24,31-Dec-24,2C:68:0E:2C:04:9F:26:EF:8A:79:C3:34:AC:C0:BC:69:92:A8:A7:99:B1:17:E0:2D:2D:83:A6:96:84:CA:7C:B9,1629,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",aws.amazon.com,Tech/Services
Microsoft Azure ECC TLS Issuing CA 07,06-Aug-24,01-Aug-25,43:22:36:3F:BB:0D:88:DA:59:A0:56:72:6A:85:7A:F3:7C:9E:0B:A5:5B:20:B8:12:14:41:7A:C9:00:B2:99:28,1569,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",azure.microsoft.com,Tech/Services
R11,20-Aug-24,18-Nov-24,C9:17:8B:E9:78:90:06:11:C8:DC:E3:52:47:97:32:FE:11:97:F5:59:1C:A9:65:77:5E:68:3F:A2:6B:C7:2C:A9,1292,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",badoo.com,Social Media
GlobalSign Atlas R3 DV TLS CA 2024 Q3,19-Jul-24,20-Aug-25,17:3E:8A:7D:5A:57:3E:00:74:DE:06:11:80:B6:6C:46:7E:69:1F:58:71:F9:41:4E:56:85:F7:AF:E6:8E:80:E7,1651,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",bandcamp.com,Entertainment
R10,06-Jul-24,04-Oct-24,7A:0B:AB:17:42:75:D8:72:F8:26:2D:F0:E5:21:AB:7A:E4:22:DF:4E:BD:5E:2F:70:60:AC:AE:D4:B6:C8:0C:B7,1269,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",biomedcentral.com,Reference
DigiCert SHA2 Extended Validation Server CA,30-Jul-24,30-Aug-25,1C:72:D5:D0:19:6D:59:CB:46:42:4D:BC:12:12:D5:35:14:9C:DE:F8:23:84:78:44:52:8C:2A:DA:B3:33:40:6F,1655,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",bitbucket.org,Tech/Services
DigiCert Global G2 TLS RSA SHA256 2020 CA1,15-Jul-24,02-Jan-25,D8:B2:74:C1:1B:A1:7E:36:EC:D3:E7:81:DE:57:7E:35:10:F6:19:9E:1A:27:F3:31:EA:22:F5:26:27:D8:0B:65,2710,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",bloomberg.com,News/Media
Amazon RSA 2048 M02,06-Dec-23,03-Jan-25,47:91:3E:62:9B:7D:A9:07:77:0F:96:B0:C3:CB:1A:F2:98:00:C7:4F:D8:28:59:C1:10:EA:51:BD:31:3E:8C:91,1497,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",buzzfeed.com,News/Media
GeoTrust RSA CA 2018,17-Jul-24,05-Nov-24,66:51:EA:42:69:27:31:3B:C1:EB:36:94:2A:DE:3A:91:A2:82:BA:D9:39:D3:A4:5E:10:63:30:06:0F:AE:F4:1C,3929,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",carmax.com,E-commerce
InCommon RSA Server CA 2,06-May-24,06-May-25,EF:B9:07:50:73:6E:32:85:32:A5:4C:C2:BF:E2:4F:EE:45:7F:AF:34:CB:94:DA:69:A8:2A:FA:78:7D:EC:D4:EB,1751,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",citeseerx.ist.psu.edu,Reference
Cloudflare Inc ECC CA-3,07-Jan-24,31-Dec-24,ED:1A:8D:60:E7:07:04:E7:B7:4F:2A:FD:7F:69:30:CE:0B:51:DC:9B:D2:F4:11:B3:E5:3C:D5:70:F7:E6:BB:40,1313,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",clubhouse.com,Social Media
Entrust Certification Authority - L1K,14-Mar-24,14-Mar-25,05:45:0E:DF:4C:8F:6D:48:F4:23:D5:D4:BA:37:FB:28:5C:DB:2E:DA:2B:A8:42:E7:6B:7E:55:6A:68:EE:D2:DC,1674,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",cnbc.com,News/Media
WR3,25-Jul-24,23-Oct-24,DE:60:62:69:31:AB:01:7D:0B:00:00:E6:0C:9F:E6:44:4F:80:54:35:19:62:F7:72:54:9E:70:B1:47:B7:AA:93,1312,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",cnet.com,News/Media
WE1,08-Aug-24,07-Nov-24,AF:49:6D:FC:F4:CE:7C:46:A6:54:C0:0F:74:F1:5E:CC:00:A3:4C:BD:0C:E9:18:8F:F2:FF:49:26:1B:5D:4C:68,978,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",codecademy.com,Tech/Services
DigiCert SHA2 Extended Validation Server CA,22-Jan-24,21-Jan-25,8F:41:F5:02:6D:BC:D0:C7:5F:EA:8A:2B:6F:DE:CF:E6:39:FE:0A:27:D5:FD:C5:32:8F:4C:38:E3:F4:29:90:B0,1677,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",costco.com,E-commerce
Amazon RSA 2048 M02,23-May-24,20-Jun-25,16:3B:11:2B:19:76:E5:4C:31:E5:E6:3C:FB:87:DB:65:9A:EC:88:BF:6B:F3:C2:F7:2B:E3:82:D9:50:BE:9D:0B,1498,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",coursera.org,Tech/Services
Cloudflare Inc ECC CA-3,14-Feb-24,31-Dec-24,98:8F:49:E2:F9:28:9C:37:BF:5E:A1:F0:0D:84:F1:38:66:BC:C3:E2:8F:ED:9E:A0:C4:50:97:4E:ED:44:44:65,1316,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",crunchyroll.com,Entertainment
E5,10-Jul-24,08-Oct-24,68:7D:B1:C4:A8:59:E9:F5:8F:74:57:D8:95:E8:B3:F4:57:AE:49:F9:56:57:38:4F:4A:5B:5B:25:12:04:B9:CE,940,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",diasporafoundation.org,Social Media
R10,31-Jul-24,29-Oct-24,B9:C5:16:85:FC:9C:FE:D3:36:50:96:78:DF:FB:1B:C6:35:98:5D:B4:B5:0C:32:C9:AD:AD:8A:39:61:AE:C0:63,1308,2048,TRUE,"('ECDHE-RSA-AES128-GCM-SHA256', 'TLSv1.2', 128)",dictionary.com,Reference
E5,19-Jul-24,17-Oct-24,95:1C:03:63:A6:8C:BA:8E:FC:AD:E9:5B:9F:1C:FD:E0:2D:A8:79:48:29:08:51:D7:C1:77:9C:17:58:2E:33:AD,977,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",digitalocean.com,Tech/Services
Cloudflare Inc ECC CA-3,04-Dec-23,02-Dec-24,7F:22:5D:DD:ED:9A:79:D8:B9:4F:D0:72:1F:F5:0E:E5:E4:8E:78:33:A6:F0:A7:E5:FB:BF:54:F2:FB:E0:D5:36,1311,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",economist.com,News/Media
Amazon RSA 2048 M03,09-Jan-24,06-Feb-25,F7:ED:3D:9A:B4:83:D0:E1:57:46:B1:F8:23:06:9E:21:6E:0F:7C:4C:76:08:2B:20:C1:84:0A:DE:D2:54:9D:3E,1472,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",edx.org,Tech/Services
Sectigo RSA Domain Validation Secure Server CA,10-Jan-24,09-Feb-25,0C:09:9C:05:D2:B7:89:43:F3:7D:38:76:73:BB:75:06:58:37:11:A1:3A:2E:88:69:62:34:0E:82:62:97:93:93,2574,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",eric.ed.gov,Reference
WR3,02-Jul-24,30-Sep-24,23:8A:C8:7C:30:C6:D2:07:2F:D0:50:7D:0C:AB:E5:35:94:A8:58:C9:5F:1B:97:73:DD:B9:7C:D9:96:70:56:3F,1321,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",factcheck.org,Reference
Amazon RSA 2048 M02,05-Feb-24,04-Mar-25,82:ED:8F:58:6E:1C:86:AA:61:C1:72:44:C4:83:E7:71:8F:64:E6:C1:71:C1:D0:F0:8E:C0:DC:7B:2D:3A:20:CA,1498,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",flickr.com,Social Media
R11,29-Jun-24,27-Sep-24,28:86:BF:CA:C8:C4:08:21:2F:0A:A7:63:F5:13:BB:C8:40:97:2F:C7:78:A5:B7:C8:63:AA:70:47:8E:5B:94:46,1263,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",foursquare.com,Social Media
Certainly Intermediate R1,08-Aug-24,07-Sep-24,E6:0C:BA:B3:D2:7A:FF:7A:27:67:BC:21:57:53:F1:BA:CA:91:63:4D:7A:CE:4F:07:BD:00:40:D6:05:A9:79:F2,1293,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",ft.com,News/Media
R10,31-Jul-24,29-Oct-24,73:5A:C3:61:84:E6:BD:44:8C:C0:9B:23:AB:8A:C2:AD:E6:16:95:D0:3E:75:31:F6:FB:0F:68:8B:E4:0C:66:A9,1265,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",funimation.com,Entertainment
Cloudflare Inc ECC CA-3,14-Feb-24,31-Dec-24,50:3E:2B:CC:4C:BF:6A:69:1E:18:C6:B3:31:46:44:11:15:2C:52:90:70:81:0C:98:99:45:AC:57:64:6D:71:C5,1297,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",gab.com,Social Media
Sectigo RSA Domain Validation Secure Server CA,12-Apr-24,11-May-25,A7:2B:29:21:4B:15:3C:88:4B:74:2F:8A:58:10:69:53:4D:55:B0:E2:11:CB:65:D6:94:91:6B:4B:F5:E3:37:9D,1668,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",gitlab.com,Tech/Services
R11,01-Jul-24,29-Sep-24,9A:65:7B:F1:90:5D:D8:63:4B:39:2F:46:38:64:4C:A8:9B:43:07:C9:AB:76:A6:1D:7E:C5:EF:24:B3:92:94:51,1266,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",hello.com,Social Media
Amazon RSA 2048 M03,12-Mar-24,10-Apr-25,29:00:7E:94:92:5C:58:07:AF:55:18:4F:79:1A:65:7B:2C:20:35:92:37:73:B5:37:89:5B:8E:DE:A5:5C:73:4F,1496,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",heroku.com,Tech/Services
GlobalSign RSA OV SSL CA 2018,08-Jan-24,08-Feb-25,B2:86:05:98:C3:50:B3:F4:6D:65:87:BB:CB:F8:6B:94:05:0F:50:AF:5A:C4:08:11:F9:2C:10:C0:BF:69:D1:E5,1618,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",hertz.com,Travel/Transportation
Entrust Certification Authority - L1K,28-Sep-23,20-Oct-24,4D:73:19:8B:A3:0E:B2:CA:B0:BC:21:26:0F:B9:53:E7:E2:15:FC:9E:63:A7:4D:2E:5E:56:76:71:C8:9C:EB:55,1663,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",homedepot.com,E-commerce
R11,30-Jul-24,28-Oct-24,C4:EB:78:12:D0:88:C5:A1:B0:17:E0:58:B0:D9:0C:E1:7A:ED:92:69:50:D6:0D:D2:A5:05:B5:A8:FF:5C:D6:AF,2183,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",hotels.com,Travel/Transportation
Amazon RSA 2048 M03,05-Apr-24,04-May-25,26:4D:16:9C:B6:80:A8:62:CE:BA:1E:64:31:B1:1E:2C:E0:00:D7:7A:D4:2C:BA:B7:AD:CF:E6:0C:1C:C0:E9:D0,1488,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",hoteltonight.com,Travel/Transportation
Amazon RSA 2048 M03,22-Apr-24,20-May-25,19:D1:3B:5D:4B:D5:6F:24:8C:99:64:A1:FD:20:88:1D:EB:D6:08:0F:4B:D7:FA:C0:87:4E:D2:08:5B:66:2A:BC,1514,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",howstuffworks.com,Reference
Amazon RSA 2048 M02,04-Jan-24,01-Feb-25,E7:DE:CD:51:FE:0E:DF:EF:A4:75:86:6A:2D:AF:09:F7:2F:50:DA:F4:80:EB:F1:CC:0F:7F:33:26:3D:A8:E9:D5,1745,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",huffpost.com,News/Media
GlobalSign Atlas R3 DV TLS CA 2024 Q1,22-Jan-24,22-Feb-25,BC:78:C9:CD:7B:5F:70:FC:0F:55:8B:D4:45:D1:F2:91:26:8D:25:A7:EE:BC:ED:4B:88:F2:B8:98:58:FC:24:43,3567,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",iheartradio.com,Entertainment
GlobalSign Atlas R3 DV TLS CA 2024 Q2,14-Jun-24,16-Jul-25,A4:68:64:7E:1A:EC:75:96:51:7E:3B:9A:F3:52:DB:7C:8F:08:C9:91:D1:7E:5B:7E:23:A9:7D:1B:0E:E2:2F:73,1639,2048,TRUE,"('ECDHE-RSA-AES128-GCM-SHA256', 'TLSv1.2', 128)",independent.co.uk,News/Media
R11,19-Aug-24,17-Nov-24,0E:8D:E1:5E:D6:92:84:7B:46:FB:1A:8D:60:84:AC:20:60:10:16:22:C9:80:8F:48:C0:97:54:1B:58:25:FD:74,1269,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",investopedia.com,Reference
R10,15-Jul-24,13-Oct-24,B9:72:2A:C1:10:88:16:B7:1F:50:56:4E:83:77:B3:AC:32:96:B9:DD:7E:62:E1:69:93:03:C7:8D:AD:16:24:46,1259,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",jetblue.com,Travel/Transportation
Amazon RSA 2048 M02,30-Sep-23,28-Oct-24,93:35:E0:13:27:D6:BE:3B:4F:71:14:22:76:80:29:8B:D9:67:15:16:9F:1E:09:E3:05:3C:F1:47:DC:AB:2B:ED,1527,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",jetbrains.com,Tech/Services
GlobalSign Atlas R3 OV TLS CA 2024 Q2,25-Jun-24,27-Jul-25,51:63:03:06:8F:9B:B2:73:BC:28:C4:26:44:B8:C1:D6:E8:4E:45:9F:C2:E8:F5:B0:8B:91:14:E9:28:35:D5:D9,2302,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",jstor.org,Reference
R11,11-Jul-24,09-Oct-24,7D:8B:BC:7F:EA:1A:CC:1A:A7:7E:BC:AC:98:AE:91:A0:02:E9:A6:23:9D:26:36:9F:6B:14:E2:AD:7E:3D:85:CA,1254,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",kayak.com,Travel/Transportation
Go Daddy Secure Certificate Authority - G2,20-Sep-23,21-Oct-24,A0:AB:76:C1:C2:70:E7:91:BE:EE:3F:A6:8B:A4:C9:CD:E0:A1:7B:7A:77:D3:FA:37:F3:8B:BB:E2:9C:BF:CB:80,1693,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",khanacademy.org,Tech/Services
Amazon RSA 2048 M02,04-Jun-24,04-Jul-25,43:70:94:6E:96:70:04:9B:8E:DA:B2:1C:BC:6B:BE:56:F5:5D:4A:45:C4:7D:D8:F6:A5:2B:F4:90:71:0E:07:56,1709,2048,TRUE,"('ECDHE-RSA-AES128-GCM-SHA256', 'TLSv1.2', 128)",latimes.com,News/Media
Amazon RSA 2048 M03,05-Feb-24,05-Mar-25,10:C0:94:1F:0C:4B:33:9E:24:7E:52:01:DF:13:38:23:29:9F:8D:DE:5E:FF:57:A7:DA:78:21:12:E8:CA:AD:8A,1470,2048,TRUE,"('ECDHE-RSA-AES128-GCM-SHA256', 'TLSv1.2', 128)",lg.com,Tech/Hardware
R11,09-Jul-24,07-Oct-24,9C:11:7E:47:0B:8B:53:29:09:0D:4D:87:9A:9C:F4:22:9E:F8:64:88:CA:BC:07:95:9A:81:C4:63:43:85:0D:70,1267,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",linux.com,Tech/Services
GeoTrust RSA CA 2018,19-May-24,21-May-25,55:1B:0B:7B:2A:E9:68:CB:37:C8:93:DA:43:22:3B:0A:34:E7:F2:EF:0B:70:22:50:FA:29:73:0C:BE:4C:12:F3,3640,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",lowes.com,E-commerce
WE1,19-Aug-24,18-Nov-24,56:4D:FC:F0:02:5C:4A:5E:E3:C1:9C:49:6F:27:4D:0C:B0:D6:2A:13:F5:B9:FE:FF:FE:AD:B8:8B:05:B6:71:67,974,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",mashable.com,News/Media
R11,26-Jul-24,24-Oct-24,3B:DD:1C:15:75:72:FB:E3:84:A4:47:C6:D0:F7:8F:76:6B:7C:59:DB:14:EA:A7:1C:46:D7:81:FE:82:42:7A:11,1310,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",mastodon.social,Social Media
GlobalSign GCC R3 DV TLS CA 2020,23-Oct-23,23-Nov-24,FF:0B:19:A8:E0:A7:CE:32:32:83:44:D4:CD:E9:66:87:65:F1:CE:96:33:6A:62:86:AB:3F:69:C6:56:2C:33:DB,1612,2048,TRUE,"('ECDHE-RSA-AES128-GCM-SHA256', 'TLSv1.2', 128)",meizu.com,Tech/Hardware
Amazon RSA 2048 M03,03-Apr-24,03-May-25,33:DF:F8:23:3C:98:73:DD:A0:42:CA:41:A2:9C:0C:DA:22:55:13:70:BF:7E:70:9F:CD:FF:BE:42:A0:D4:01:B9,1486,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",mewe.com,Social Media
Amazon RSA 2048 M02,03-Oct-23,29-Oct-24,73:9E:FC:F9:7A:46:D1:9D:8A:B6:AA:A6:F6:E4:56:23:87:B9:10:84:F0:F7:8E:E5:24:CA:F8:5E:B6:66:3F:DA,1483,2048,TRUE,"('ECDHE-RSA-AES128-GCM-SHA256', 'TLSv1.2', 128)",mix.com,Social Media
WR3,24-Jul-24,22-Oct-24,B6:4C:27:AE:D8:A8:63:8D:53:AE:BD:A1:2F:24:85:EB:4B:15:61:6F:D9:28:B0:63:1C:64:CE:96:69:60:96:19,1318,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",mozilla.org,Tech/Services
Go Daddy Secure Certificate Authority - G2,30-Jul-24,31-Aug-25,A0:4E:A3:C1:E5:E9:03:69:C2:65:E4:F5:18:1D:A9:01:DA:BF:DD:AA:67:13:BA:69:0D:90:7A:D6:D2:8E:14:A2,1682,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",myspace.com,Social Media
R10,06-Jul-24,04-Oct-24,BA:1A:F1:73:85:E9:B8:40:75:78:F3:65:C5:92:F2:61:A0:DD:5D:F7:60:F2:B1:55:30:90:B9:25:F5:8B:1C:6C,1255,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",nature.com,Reference
DigiCert TLS RSA SHA256 2020 CA1,03-Aug-24,06-Aug-25,8E:79:0E:0E:59:47:5A:08:61:55:43:F4:68:33:5F:F0:55:DB:18:46:49:BE:55:6F:DA:75:CB:F5:2B:F3:0B:C5,2614,256,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",newegg.com,E-commerce
Amazon RSA 2048 M02,21-Jun-24,19-Jul-25,25:A9:EF:EF:DA:73:46:F9:A8:2F:8A:1D:06:78:05:66:4A:E3:E9:3C:D4:BA:23:1A:8C:2B:3B:4F:DF:81:97:E1,1498,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",newsweek.com,News/Media
Amazon RSA 2048 M03,26-Mar-24,24-Apr-25,11:D7:3A:1F:39:93:E5:A2:52:BB:82:E4:B4:AB:67:4D:94:0F:EB:07:70:BA:C4:F6:03:B9:57:12:90:D6:90:17,1515,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",nextdoor.com,Social Media
Amazon RSA 2048 M03,01-Apr-24,30-Apr-25,F4:3C:AB:32:BD:0C:82:2B:16:C5:68:CC:DF:53:8B:1F:28:CC:2C:91:B0:BC:62:F2:5B:8A:A0:82:87:65:02:BA,1481,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",npr.org,News/Media
GeoTrust CN RSA CA G1,19-Jun-24,20-Jul-25,50:F0:F5:11:E9:36:FA:BD:83:41:47:84:4F:EC:AA:B8:76:56:26:51:D2:4A:70:D6:CC:DA:03:11:B0:F8:13:58,2080,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",oppo.com,Tech/Hardware
DigiCert TLS RSA SHA256 2020 CA1,16-Oct-23,16-Oct-24,0C:C7:19:40:6D:28:AE:21:B4:28:1D:35:0F:61:96:93:63:17:95:77:C4:75:2E:E4:1D:62:B8:9A:76:A5:4E:E3,1864,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",orbitz.com,Travel/Transportation
DigiCert Global G2 TLS RSA SHA256 2020 CA1,29-Nov-23,29-Dec-24,70:6C:4C:5D:E9:93:C9:53:61:30:75:4A:43:E7:88:91:F6:43:F0:45:95:4E:15:D2:D9:FB:D6:D7:45:AB:58:C1,1770,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",oxfordjournals.org,Reference
Cybertrust Japan SureServer CA G4,04-Oct-23,03-Nov-24,B4:75:CB:42:A9:32:14:23:02:21:E0:03:49:EE:DA:44:7A:66:BB:18:C4:42:5B:FD:01:0C:7F:F0:B7:0D:0A:75,1861,2048,TRUE,"('ECDHE-RSA-AES128-GCM-SHA256', 'TLSv1.2', 128)",panasonic.com,Tech/Hardware
R10,19-Jul-24,17-Oct-24,3F:68:7E:37:03:BB:CD:80:14:0B:95:38:9C:EB:20:26:40:14:BB:D5:E1:3D:94:38:1C:CC:93:A6:7D:CF:33:B4,1302,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",parler.com,Social Media
Amazon RSA 2048 M03,11-Mar-24,10-Apr-25,09:3C:73:CF:F1:34:90:00:C2:56:19:EA:35:CC:B9:7B:BC:DD:2B:11:86:CD:F7:C6:3C:F9:AC:C9:A9:9D:AB:79,1497,2048,TRUE,"('ECDHE-RSA-AES128-GCM-SHA256', 'TLSv1.2', 128)",periscope.tv,Social Media
WE1,27-Jul-24,25-Oct-24,A7:A4:FD:64:93:90:39:F7:4D:2C:51:68:53:0F:4D:A3:A6:D9:86:BF:05:14:F8:FA:FB:35:C5:38:1E:FE:D3:42,926,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",plos.org,Reference
Amazon RSA 2048 M02,08-Apr-24,07-May-25,A0:2B:73:2C:CC:95:FB:BC:C3:E2:52:C4:DF:B1:DE:CE:EC:BC:AB:BE:9C:05:B5:16:64:58:B1:2C:CB:F4:BF:CE,1508,2048,TRUE,"('ECDHE-RSA-AES128-GCM-SHA256', 'TLSv1.2', 128)",pluralsight.com,Tech/Services
