issuer,validity_start,validity_end,sha256_fingerprint,cert_length,public_key_length,secure_connection,encryption,website,category
DigiCert SHA2 High Assurance Server CA,23-Jul-24,15-Jan-25,95:5C:11:D3:61:0F:3F:4E:1C:AF:70:5C:29:94:F3:21:B4:26:0D:5F:BC:B3:CE:DA:0B:2A:49:D9:E5:5C:9C:01,1779,256,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",yahoo.com/ads,Advertising
Entrust Certification Authority - L1M,09-May-24,09-May-25,9B:6F:ED:A6:B3:A6:D1:0B:84:F6:C6:43:7C:F8:68:D3:C9:D1:5C:A3:E4:37:23:0B:0C:51:1E:44:F2:FA:56:0D,1835,2048,TRUE,"('ECDHE-RSA-AES128-GCM-SHA256', 'TLSv1.2', 128)",chase.com,Banking
Wells Fargo Public Trust Certification Authority 01 G2,14-Aug-24,14-Sep-25,8E:20:62:17:72:F4:1B:9C:FE:92:04:28:19:00:DD:F1:03:F9:3C:79:2F:E2:CE:10:3F:D4:88:A9:5E:15:06:CD,1810,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",wellsfargo.com,Banking
DigiCert EV RSA CA G2,22-Aug-23,21-Sep-24,87:3D:4F:79:FD:9D:C5:42:C3:DF:7B:AD:C7:4A:B2:B1:D4:AF:7C:BB:5F:47:95:74:BA:A9:3D:9C:AC:74:5F:40,1926,2048,TRUE,"('ECDHE-RSA-AES256-GCM-SHA384', 'TLSv1.2', 256)",citibank.com,Banking
Entrust Certification Authority - L1K,24-Jun-24,24-Jul-25,BC:C7:7B:6B:3B:D2:5E:2C:E9:84:6D:8F:C1:9D:E2:C7:E4:B4:32:5E:93:2E:F9:6A:45:69:CE:5C:3B:75:7B:39,6494,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",usbank.com,Banking
DigiCert EV RSA CA G2,30-May-24,30-Jun-25,62:84:81:4B:AF:0B:E3:3C:4B:61:48:15:6B:76:25:FB:71:68:5F:D2:B3:38:6C:99:FB:CA:34:43:F6:67:C0:1C,3221,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",barclays.co.uk,Banking
COMODO RSA Organization Validation Secure Server CA,04-Jan-24,03-Feb-25,F6:80:90:A1:D4:A9:C2:D0:5E:B8:6A:7C:1C:3D:70:72:1D:E5:25:0D:7E:4B:CC:60:59:52:38:8D:B2:38:EC:B5,1814,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",natwest.com,Banking
DigiCert SHA2 Extended Validation Server CA,23-Jul-24,18-Apr-25,5A:A4:D2:E4:9B:B4:AB:19:0C:B6:78:D8:2D:5B:91:44:18:FA:DD:60:8F:DD:D6:29:E5:AF:FF:B1:B3:47:7D:1C,4127,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",lloydsbank.com,Banking
COMODO RSA Organization Validation Secure Server CA,12-Oct-23,09-Nov-24,40:50:F5:0B:EB:B9:3E:4B:BD:0E:FC:93:2E:A8:E2:D6:1F:5B:DF:59:2D:B2:2A:48:9C:94:1B:DE:1A:B2:D9:3E,1831,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",rbs.com,Banking
DigiCert TLS RSA SHA256 2020 CA1,13-Dec-23,13-Dec-24,AA:2B:B9:21:54:D7:34:1E:1F:92:C3:2A:C7:DE:AE:F1:83:6C:DD:E8:E1:8C:D7:66:EA:0C:96:33:E4:7A:E9:1A,2423,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",bnpparibas.com,Banking
