issuer,validity_start,validity_end,sha256_fingerprint,cert_length,public_key_length,secure_connection,encryption,error,website,category
DigiCert TLS RSA SHA256 2020 CA1,13-Dec-23,13-Dec-24,AA:2B:B9:21:54:D7:34:1E:1F:92:C3:2A:C7:DE:AE:F1:83:6C:DD:E8:E1:8C:D7:66:EA:0C:96:33:E4:7A:E9:1A,2423,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,bnpparibas.com,Banking
Sectigo ECC Extended Validation Secure Server CA,03-Apr-24,03-Apr-25,40:F3:21:47:81:7B:D9:B1:72:3C:3D:B9:62:A6:39:A7:7D:B9:C1:30:30:3B:92:B0:5A:52:50:21:00:4A:0B:0A,1499,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,rabobank.com,Banking
DigiCert TLS RSA SHA256 2020 CA1,09-Sep-23,11-Sep-24,9B:56:23:15:67:FA:9D:FF:04:A1:5F:85:54:D3:0B:4E:3C:FE:2F:2E:F4:22:E9:E0:8B:4D:42:F4:AE:5D:04:74,2156,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,bbva.com,Banking
DigiCert SHA2 Extended Validation Server CA,16-Feb-24,15-Feb-25,C3:A3:93:D1:9A:15:1F:C3:B2:5E:BD:BF:D4:C5:12:97:7A:8C:35:1D:03:F0:08:A4:D0:9C:DF:D8:65:9B:F0:BF,1650,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,itau.com.br,Banking
DigiCert TLS RSA SHA256 2020 CA1,28-Nov-23,27-Nov-24,1E:D4:8B:C0:35:59:1F:B1:4F:50:07:58:35:CC:02:03:CA:59:7A:9D:3C:E7:04:18:4D:7A:B5:D9:32:D7:12:77,2214,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,bradesco.com.br,Banking
Cloudflare Inc ECC CA-3,16-Feb-24,31-Dec-24,A1:02:F4:22:0C:A1:AB:BF:E1:45:CF:90:46:78:26:A1:B9:C2:10:16:4F:F8:B9:8F:DA:B4:4A:A2:8D:BC:80:FF,1303,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,medium.com,Blogging/Publishing
Sectigo ECC Domain Validation Secure Server CA,05-Dec-23,04-Jan-25,2A:5B:BC:F8:44:38:08:E5:77:2B:D0:41:9E:67:B4:4F:5C:04:48:CB:77:08:8E:EC:54:6C:B0:EC:71:CA:8B:AC,1198,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,wordpress.com,Blogging/Publishing
WR2,30-Jul-24,22-Oct-24,6E:10:5F:32:73:31:79:07:22:44:51:9D:72:79:29:3C:9B:CC:E2:F1:0C:3B:AC:78:E9:6D:BC:0B:3A:A2:1E:0D,1155,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,blogger.com,Blogging/Publishing
E5,02-Jul-24,30-Sep-24,33:D9:92:1C:8D:2A:35:A6:B1:02:CD:39:03:27:DE:A8:55:6B:55:53:7C:23:AC:65:05:92:BE:34:A0:D5:0A:C1,904,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,weebly.com,Blogging/Publishing
Sectigo ECC Domain Validation Secure Server CA,15-Nov-23,15-Dec-24,DB:23:D7:E1:39:84:4C:74:E1:77:7E:88:C7:C7:AF:13:F2:B2:BA:12:03:43:62:6B:89:0C:DA:D2:83:F7:43:37,1187,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,tumblr.com,Blogging/Publishing
